10741-13098,3195.6770186335407
11010-10058,2668.72049689441
10092-12021,2178.0372670807456
10052-13314,2157.790594498669
10238-10033,2010.4897959183675
11127-13549,1391.6716947648624
10620-11399,1375.810115350488
10887-13991,1297.7409050576753
10984-12781,1272.5004436557233
10775-11117,995.0913930789708
10052-10908,934.5607808340728
10260-12742,807.1836734693878
11125-14287,699.9822537710737
10496-12181,674.3744454303461
10368-10302,669.2741792369122
10709-13355,650.2218278615794
10923-14404,636.4365572315883
10920-11110,585.8917480035493
10505-11358,585.1038154392191
10899-12970,557.9130434782609
10079-13567,516.5217391304348
10912-12473,506.2999112688554
10280-13870,477.34338952972496
10844-10944,475.566992014197
10164-14043,440.52351375332745
10647-14376,413.2830523513754
10374-11167,397.4055013309672
10570-13394,382.81810115350487
10663-10041,372.13842058562557
10669-10374,367.4800354924579
10448-13436,346.08873114463177
10853-12844,339.1304347826087
10990-12191,326.81455190771965
10299-11430,264.7293700088731
10122-14225,258.37976929902396
10794-12566,250.61047027506655
10409-11736,246.73469387755102
10295-12582,224.86424134871342
11072-10613,220.94764862466727
11113-12815,207.56699201419698
10374-11164,207.37533274179236
10231-10418,202.79680567879328
10701-12002,201.32031943212067
10463-12754,200.0
10862-10307,188.62111801242236
10857-12832,184.8074534161491
10049-12652,180.73469387755102
11016-11362,179.0204081632653
10046-11509,176.16858917480036
10948-10272,174.3921916592724
11032-13212,169.5226264418811
10525-13762,167.19609582963622
10492-14309,161.4409937888199
10862-11319,158.35314995563442
10145-10245,156.12777284826976
11116-11504,153.54037267080747
11053-11513,147.92191659272405
10046-11909,147.4818101153505
10138-12891,141.34871339840285
11015-11754,140.18811002661934
10704-11818,139.71251109139308
10437-14151,139.2511091393079
10114-11197,138.622892635315
10164-11214,132.3513753327418
10663-13490,128.5927240461402
10051-12690,127.30434782608697
10594-12690,126.9849157054126
10796-12901,126.20408163265307
10975-13717,125.67524401064775
10997-12693,125.21916592724047
10308-14395,122.61401952085183
11056-12599,122.12954747116238
10610-11610,122.02307009760426
10778-10751,121.53327417923691
10070-13321,118.18988464951198
10959-13792,116.73469387755102
10451-11612,112.0
10822-10443,110.5075421472937
10806-11382,110.12422360248448
10068-12022,107.89529724933452
10812-13028,106.90328305235138
10115-12745,103.70363797692991
